filename,content
0328.txt,Swing your arm as high as you can.
0102.txt,"When he speaks, his voice is just a bit cracked and quivers a trifle."
0116.txt,rave
0076.txt,beat
0062.txt,torn
0089.txt,storm
0274.txt,[relax your mouth in its normal position]
0260.txt,The little schoolhouse stood empty.
0248.txt,sigh
0249.txt,Their house is grey and white.
0261.txt,park
0275.txt,"Before Thursday's exam, review every formula."
0088.txt,car
0063.txt,knee
0077.txt,trace
0117.txt,Don't ask me to carry an oily rag like that.
0103.txt,sip
0329.txt,He wrapped the package hastily.
0315.txt,spark
0301.txt,The dolphins swam around our boat.
0317.txt,fat
0303.txt,Day after day some new episode is reported.
0115.txt,"A long, flowing beard clings to his chin,"
0101.txt,"When he speaks, his voice is just a bit cracked and quivers a trifle."
0129.txt,know
0061.txt,bubble
0075.txt,beat
0049.txt,up
0263.txt,xxx
0277.txt,This is not a program of socialized medicine.
0288.txt,pit
0289.txt,leak
0276.txt,juliet
0262.txt,xxx
0048.txt,jagged
0074.txt,"but he always answers, ""Banana oil!"""
0060.txt,dagger
0128.txt,One validated acts of school districts.
0100.txt,"he dresses himself in an ancient black frock coat,"
0114.txt,the
0302.txt,shy
0316.txt,sitting
0333.txt,hem
0327.txt,him
0119.txt,You'd be better off taking a cold shower.
0131.txt,error
0125.txt,steer
0079.txt,"read [as in ""I can read""]"
0045.txt,She had your dark suit in greasy wash water all year.
0051.txt,stubble
0086.txt,fee
0092.txt,share
0247.txt,play
0253.txt,part
0284.txt,hum
0290.txt,sigh
0291.txt,yes
0285.txt,mike
0252.txt,brawn
0246.txt,bad
0093.txt,knew
0087.txt,trade
0050.txt,air
0044.txt,storm
0078.txt,swarm
0124.txt,prior
0130.txt,know
0118.txt,giving those who observe him a pronounced feeling of the utmost respect.
0326.txt,lair
0332.txt,dark
0318.txt,The box contained three sweaters.
0324.txt,kitten
0330.txt,hat
0126.txt,pad
0132.txt,cycle
0052.txt,"tear [as in ""tear up that paper""]"
0046.txt,grow
0091.txt,slip
0085.txt,meat
0278.txt,Alimony harms a divorced man's wealth.
0250.txt,Two other cases also were under advisement.
0244.txt,"If you destroy confidence in banks, you do something to the economy, he said."
0293.txt,tell
0287.txt,It eventually became a rather proud claim.
0286.txt,A roll of wire lay near the wall.
0292.txt,reek
0245.txt,"If you destroy confidence in banks, you do something to the economy, he said."
0251.txt,droop
0279.txt,city
0084.txt,go
0090.txt,down
0047.txt,dark
0053.txt,trait
0133.txt,fruit
0127.txt,urgent
0331.txt,input/images/story_starters_22.jpg
0325.txt,liar
0319.txt,leak
0321.txt,rich
0335.txt,seed
0309.txt,sell
0123.txt,select
0137.txt,write
0057.txt,usually minus several buttons;
0043.txt,swarm
0094.txt,[say 'Ah' for 5 seconds]
0080.txt,swore
0255.txt,mitten
0241.txt,The humidity is overwhelming there.
0269.txt,brought
0296.txt,at
0282.txt,lick
0283.txt,dart
0297.txt,fat
0268.txt,kilo
0240.txt,pot
0254.txt,witty
0081.txt,warm
0095.txt,stick
0042.txt,chair
0056.txt,beta
0136.txt,sleep
0122.txt,wish
0308.txt,bitten
0334.txt,league
0320.txt,Students watched as he got out.
0336.txt,spain
0322.txt,blow
0134.txt,shear
0120.txt,three
0108.txt,left
0040.txt,raid
0054.txt,store
0068.txt,sip
0083.txt,yes
0097.txt,horn
0242.txt,much
0256.txt,This is a period of transition for me.
0281.txt,pit
0295.txt,no
0294.txt,chop
0280.txt,spit
0257.txt,It was a good win for us.
0243.txt,sigh
0096.txt,Twice each day he plays skillfully and with zest upon our small organ.
0082.txt,feet
0069.txt,form
0055.txt,"read [as in ""I can read""]"
0041.txt,pat
0109.txt,rage
0121.txt,dot
0135.txt,Jane may earn more money by working hard.
0323.txt,hark
0337.txt,foxtrot
0378.txt,The books are very expensive.
0350.txt,bit
0344.txt,It also provides for funds to clear slums and help colleges build dormitories.
0393.txt,meat
0387.txt,quebec
0152.txt,bat
0146.txt,gnaw
0191.txt,fear
0185.txt,Why yell or worry over silly items?
0026.txt,sheet
0032.txt,fair
0218.txt,I tried to tell people in the community.
0224.txt,peer
0230.txt,explore
0231.txt,troop
0225.txt,toot
0219.txt,Will Robin wear a yellow lily?
0033.txt,bat
0027.txt,input/images/story_starters_15.jpg
0184.txt,The train approached the depot slowly.
0190.txt,sprinkle
0147.txt,coupe
0153.txt,rocks
0386.txt,start
0392.txt,sink
0345.txt,written
0351.txt,"She wore warm, fleecy, woolen overalls."
0379.txt,"When all else fails, use force."
0409.txt,uniform
0347.txt,eight
0421.txt,we have an excellent team
0353.txt,sign
0384.txt,five
0390.txt,sit
0179.txt,I was conscious all the time.
0145.txt,suit
0151.txt,Are your grades higher or lower than Nancy's?
0186.txt,forward
0192.txt,Where were you while we were away?
0019.txt,[relax your mouth in its normal position]
0031.txt,right
0025.txt,no
0233.txt,[relax your mouth in its normal position]
0227.txt,yes
0226.txt,pile
0232.txt,sigh
0024.txt,bug
0030.txt,feed
0018.txt,[say 'Ah' for 5 seconds]
0193.txt,back
0187.txt,"Everything went real smooth, the sheriff said."
0150.txt,deer
0144.txt,My sister made the flowered curtains.
0178.txt,ate
0391.txt,People who value themselves are life's winners.
0385.txt,echo
0352.txt,him
0346.txt,Nothing has been done yet to take advantage of the enabling legislation.
0420.txt,the prospect of cutting back spending is an unpleasant one for any governor
0408.txt,tread
0342.txt,take
0356.txt,golf
0418.txt,left
0381.txt,We rode horseback to the farm.
0395.txt,dress
0140.txt,of
0154.txt,galore
0168.txt,This was easy for us.
0183.txt,input/images/story_starters_17.jpg
0197.txt,root
0034.txt,feet
0020.txt,glow
0008.txt,"lead [as in ""I will lead you""]"
0236.txt,fate
0222.txt,Nothing is as offensive as innocence.
0223.txt,knew
0237.txt,light
0009.txt,ship
0021.txt,goat
0035.txt,trouble
0196.txt,They carried me off on the stretcher.
0182.txt,I scrubbed the floors thoroughly.
0169.txt,were
0155.txt,You're used to being on the field.
0141.txt,loop
0394.txt,victor
0380.txt,"If you are losing water, replace it immediately."
0419.txt,tin
0357.txt,zero
0343.txt,seeds
0355.txt,I have had my bell rung.
0341.txt,seven
0369.txt,nine
0396.txt,sin
0382.txt,hitting
0157.txt,slip
0143.txt,four
0194.txt,I just try to do my best.
0180.txt,delta
0023.txt,knew
0037.txt,double
0221.txt,Both figures would go higher in later years.
0235.txt,boot
0209.txt,Just one side got wet.
0208.txt,tie
0234.txt,rock
0220.txt,witch
0036.txt,[say 'OA' as in cOAt in a very low pitch]
0022.txt,weed
0181.txt,slay
0195.txt,lip
0142.txt,floor
0156.txt,hate
0383.txt,knitting
0397.txt,down
0368.txt,Aluminum silverware can often be flimsy.
0340.txt,seven
0354.txt,side
