filename,content
0129.txt,The train approached the depot slowly.
0061.txt,I feel I can play this weekend.
0075.txt,bad
0049.txt,shear
0263.txt,city
0277.txt,heart
0276.txt,mush
0262.txt,Carl lives in a lively home.
0048.txt,shoot
0074.txt,[relax your mouth in its normal position]
0060.txt,error
0128.txt,much
0100.txt,ate
0114.txt,no
0119.txt,delta
0131.txt,rocks
0125.txt,My sister made the flowered curtains.
0079.txt,pat
0045.txt,One validated acts of school districts.
0051.txt,droop
0086.txt,Just one side got wet.
0092.txt,hate
0247.txt,hum
0253.txt,pitting
0284.txt,[relax your mouth in its normal position]
0285.txt,yes
0252.txt,lima
0246.txt,thought
0093.txt,group
0087.txt,thigh
0050.txt,suit
0044.txt,back
0078.txt,She is thinner than I am.
0124.txt,slip
0130.txt,write
0118.txt,mut
0126.txt,four
0132.txt,They carried me off on the stretcher.
0046.txt,knew
0091.txt,sleep
0085.txt,here
0278.txt,Both injuries were to the same leg.
0250.txt,side
0244.txt,leak
0287.txt,ticker
0286.txt,brought
0245.txt,thought
0251.txt,brawn
0279.txt,league
0084.txt,Jane may earn more money by working hard.
0090.txt,lip
0047.txt,forward
0053.txt,peer
0133.txt,cope
0127.txt,Why yell or worry over silly items?
0123.txt,slay
0137.txt,ate
0057.txt,root
0043.txt,Both figures would go higher in later years.
0094.txt,I looked up and noticed two old men.
0080.txt,though
0255.txt,A roll of wire lay near the wall.
0241.txt,kilo
0269.txt,spain
0282.txt,seed
0283.txt,hat
0268.txt,It was a good win for us.
0240.txt,The job provides many benefits.
0254.txt,Students watched as he got out.
0081.txt,tie
0095.txt,I scrubbed the floors thoroughly.
0042.txt,The islands are sparsely populated.
0056.txt,Are your grades higher or lower than Nancy's?
0136.txt,cheer
0122.txt,"tear [as in ""tear in my eye""]"
0134.txt,coupe
0120.txt,menu
0108.txt,sprinkle
0040.txt,play
0054.txt,jaw
0068.txt,boot
0083.txt,input/images/story_starters_17.jpg
0097.txt,briar
0242.txt,I have had my bell rung.
0256.txt,no
0281.txt,pit
0280.txt,six
0257.txt,start
0243.txt,bitten
0096.txt,I just try to do my best.
0082.txt,snoop
0069.txt,I tried to tell people in the community.
0055.txt,gnaw
0041.txt,urgent
0109.txt,You'd be better off taking a cold shower.
0121.txt,All the big baseball players get traded.
0135.txt,white
0152.txt,He will allow a rare lie.
0146.txt,"Everything went real smooth, the sheriff said."
0191.txt,Nothing has been done yet to take advantage of the enabling legislation.
0185.txt,The misguided souls have lost their way.
0026.txt,sigh
0032.txt,pot
0218.txt,lick
0224.txt,top
0230.txt,fat
0231.txt,golf
0225.txt,take
0219.txt,papa
0033.txt,We gathered shells on the beach.
0027.txt,troop
0184.txt,lair
0190.txt,shy
0147.txt,write
0153.txt,dot
0179.txt,It eventually became a rather proud claim.
0145.txt,You're used to being on the field.
0151.txt,whoop
0186.txt,oscar
0192.txt,blow
0019.txt,dark
0031.txt,fate
0025.txt,wish
0233.txt,dart
0227.txt,The box contained three sweaters.
0226.txt,chop
0232.txt,"Before Thursday's exam, review every formula."
0024.txt,feet
0030.txt,slip
0018.txt,chair
0193.txt,loyal
0187.txt,There is a treehouse up above.
0150.txt,side
0144.txt,hear
0178.txt,tell
0140.txt,we're
0154.txt,select
0168.txt,sign
0183.txt,sergeant
0197.txt,eight
0034.txt,pay
0020.txt,feed
0008.txt,grow
0236.txt,part
0222.txt,I expect we'll bounce back this week.
0223.txt,five
0237.txt,nine
0009.txt,store
0021.txt,[say 'Ah' for 5 seconds]
0035.txt,Where were you while we were away?
0196.txt,pretty
0182.txt,bloat
0169.txt,fitting
0155.txt,light
0141.txt,sway
0157.txt,darn
0143.txt,toot
0194.txt,seven
0180.txt,hill
0023.txt,sip
0037.txt,air
0221.txt,much
0235.txt,The museum hires musicians every evening.
0209.txt,"Night after night, they received annoying phone calls."
0208.txt,"She wore warm, fleecy, woolen overalls."
0234.txt,leak
0220.txt,november
0036.txt,pile
0022.txt,floor
0181.txt,He further proposed grants of an unspecified sum for experimental hospitals.
0195.txt,at
0142.txt,yes
0156.txt,input/images/story_starters_22.jpg
