filename,content
0025.txt,xxx
0233.txt,bat
0227.txt,side
0226.txt,You'd be better off taking a cold shower.
0232.txt,suit
0024.txt,giving those who observe him a pronounced feeling of the utmost respect.
0030.txt,park
0018.txt,go
0193.txt,delta
0187.txt,Why yell or worry over silly items?
0150.txt,we're
0144.txt,bad
0178.txt,gnaw
0140.txt,bear
0154.txt,xxx
0168.txt,I tried to tell people in the community.
0183.txt,He will allow a rare lie.
0197.txt,error
0034.txt,down
0020.txt,spark
0008.txt,sticks
0236.txt,Their house is grey and white.
0222.txt,rocks
0223.txt,rocks
0237.txt,input/images/story_starters_16.jpg
0009.txt,slip
0021.txt,yes
0035.txt,sip
0196.txt,menu
0182.txt,He will allow a rare lie.
0169.txt,area
0155.txt,I was conscious all the time.
0141.txt,bear
0157.txt,She is thinner than I am.
0143.txt,near
0194.txt,"If you destroy confidence in banks, you do something to the economy, he said."
0180.txt,write
0023.txt,swarm
0037.txt,sip
0221.txt,sigh
0235.txt,troop
0209.txt,mut
0208.txt,All the big baseball players get traded.
0234.txt,ate
0220.txt,Jane may earn more money by working hard.
0036.txt,knew
0022.txt,fee
0181.txt,[relax your mouth in its normal position]
0195.txt,suit
0142.txt,floor
0156.txt,I was conscious all the time.
